session_id,target
1,6.442579234897387e-05
2,2.8539040031359358e-11
3,5.643128843920437e-13
4,4.116117781908227e-16
5,8.317097723966451e-07
6,3.556999135256684e-06
7,6.446941286716393e-05
8,1.4099543122392162e-06
9,7.157723888184179e-06
10,0.007495107619620187
11,1.3746415793145673e-07
12,2.861606895330381e-07
13,3.6851905772198066e-06
14,0.10290599864828268
15,1.5517208256141177e-06
16,0.0004672016365121549
17,0.012238798210855202
18,1.9562887719013067e-08
19,7.431446111139912e-06
20,8.993582659408727e-10
21,0.012602861975267766
22,9.351146924682247e-10
23,1.436146335453989e-07
24,4.873335373438315e-05
25,0.05600697775621609
26,8.295920137273965e-16
27,3.912095092815922e-06
28,1.616420055500675e-12
29,0.007048037535404991
30,4.556587925083633e-06
31,0.012423887576183705
32,0.004512626625436468
33,5.210224529981309e-06
34,5.626682886993598e-11
35,0.002282277939385739
36,6.302103520887434e-05
37,3.943963310413349e-15
38,2.349053869580915e-11
39,3.588538452781901e-07
40,2.2550958534451672e-07
41,5.101777458236685e-06
42,0.014991409463387279
43,1.2112952352472233e-09
44,2.768403110617192e-07
45,0.8902090999398828
46,1.247152670313266e-07
47,0.00023604549493522968
48,1.0829026993558024e-05
49,4.746883381805339e-08
50,2.6165420477169757e-09
51,4.0370650010213015e-14
52,3.443156363144439e-09
53,0.013327779937083159
54,5.75179347777375e-06
55,3.511182971350824e-09
56,0.0012421696878945228
57,5.221694917764772e-11
58,2.2348072621822065e-09
59,1.2125821315220293e-06
60,5.7679484186621414e-08
61,2.2539905807345026e-09
62,1.1564281533505372e-05
63,1.4323015536056398e-08
64,1.297895452639042e-08
65,1.7651937711093756e-07
66,9.79914711370889e-10
67,6.958878773364235e-07
68,9.952346058547768e-06
69,0.024364530670586068
70,1.7111547455774351e-06
71,1.1950997124707107e-05
72,6.506401269064985e-06
73,0.1904388622237873
74,1.553300003030452e-10
75,7.280307042538085e-07
76,9.501319750207492e-06
77,6.236569229892551e-06
78,0.0006967452525982564
79,5.083002970417552e-09
80,2.31697332397993e-06
81,7.741574460188963e-09
82,5.086171314671664e-06
83,8.659846486305021e-14
84,0.4550137072268778
85,4.301460463606147e-08
86,7.216236544920488e-09
87,0.0004329342742778012
88,6.29327253754843e-06
89,3.7435067256743316e-05
90,0.01007587424401237
91,1.0595545263449012e-06
92,8.127083019069767e-08
93,0.02083732891539771
94,1.6879129472783605e-05
95,0.1342098968451959
96,2.7338760287142244e-10
97,1.7046293279828339e-06
